key,q,a
,白金浪漫版·青岛520产品流程,"尊敬的同程VIP会员您好：
①爱的教堂婚礼，用一场唯美的婚礼，重温甜蜜时光；
②爱的玫瑰婚房，精心温馨玫瑰海景婚房，房间精心布置，花瓣铺床，营造出甜蜜温馨的氛围，让每对父母都能重温曾经的浪漫时光；
③爱的狂欢和互动，浪漫派对惊喜安排，体验不一样的沙滩啤酒狂欢夜，这里有沙滩、啤酒、音乐、面具还有属于你们爱的互动游戏；
④爱的烛光晚餐，浪漫双人烛光晚餐，每对父母都能享受到百旅会特别布置的烛光晚餐，并安排甜蜜互动；
⑤爱的感恩视频，一段简单的视频，几句温馨的话语，隔着屏幕父母能感受到子女的爱和用心；
⑥爱的浪漫婚拍，专业摄影师为您记录爱的瞬间并制作成相册。
接下来我们会推出更多优质的会员专属主题产品，便于更好地服务于会员，会员产品公司将不忘初心，调整设计理念，优化行程内容，敬请各位伙伴同我们一起迎接新产品的上线。"
,百旅会保险是免费的吗,尊敬的同程vip会员您好，百旅会赠送的保险是不需要再付费的哦且保险不能转让，只能是百旅会的受益人使用~
,会员如何得知保险已经生效,尊敬的同程vip会员您好，投保成功后您会收到的短信提示，会有订单号以及查询链接，客户可以直接点击链接www.soochowlife.net中个人保单查询，也可以拨打东吴人寿400-825-6789客服确认，正常情况保险生效会收到短信（如果手机号码提供有误则无法接收）。
,百旅会保险有效期,尊敬的同程vip会员您好，投保生效后开始计算，具体以保单生效时间为准哦。
,百旅会80岁老人能投保吗,尊敬的同程vip会员您好，目前关于保险权益的投保年龄已经拓宽到100岁，可以参加百旅会。但高龄会员出游，还需要再次同相关旅游产品要求做确认，确认能否安排出游。(注：保险投保年龄18周岁以上)。
,百旅会保险是否有保险合同,尊敬的同程vip会员您好，保险不单独签与百旅会会员的合同，东吴人寿为每位百旅会会员提供电子保单（与纸质保单同等效力），会员使用保单号及身份证号码可以在保险公司官网查看具体保单信息。
,保险如何查看电子保单,尊敬的同程vip会员您好，百旅会会员投保成功后会收到短信提示，按照短信里面提示操作即可。（注：保单属于隐私，故直接在短信里面查看或者致电东吴人寿保险官网电话进行咨询即可）
,保险项目包含旅游险吗,尊敬的同程vip会员您好，百旅会分为两种保险哦，一种是平安，一种是东吴。保险和旅游险还是有区别的，但是我们赠送的国内游行程中均含有双人旅游险，如预订的别的线路，则建议购买一份旅游险（平安保险），东吴保险是公共交通意外险哦，仅限国内段受保，并且不包含旅游险的哦。
,外籍人士是否能购买保险？需要提供哪些材料？,尊敬的同程vip会员您好，百旅会外籍是可以进行投保的哦，请提供有效证件（包括护照，港澳通行证，台胞证等）及出生年月即可~
,使用了保险再退百旅会有没有损失,尊敬的同程vip会员您好，如果您参加的是黄金关爱版，在七天内已经使用保险权益是要扣除20元的保险费用的哦，如果7天内无使用任何权益的话，是可以全额退款的哦。
,在境外发生意外，保险可以赔偿吗,尊敬的同程vip会员您好，东吴人寿和平安保险，在境外发生公共交通都可以算的，但是仅限公共交通意外，如果在境外发生其他意外不算的，比如爬山出事故等。
,保险是否含航班延误险,尊敬的同程vip会员您好，百旅会赠送的保险是不包含航班延误，行李丢失险的哦~
,保险投保公司,尊敬的同程vip会员您好，百旅会有三个版本哦，黄金关爱版投保公司是东吴人寿哦~白金浪漫版和铂金浪漫版投保公司是中国平安保险哦~
,赠送保险和旅游险的区别,尊敬的同程vip会员您好~旅游险是场景化的，在当时场景中，你的钱包丢了，出了一些小的问题，都有赔偿。而平安的保险，都是指大的事故。另外，在旅游景点中有一些蹦极、潜水等高危活动，也不在平安保险的赔付范围，但是旅游险会赔付。
,百旅会保险的投保年龄范围,尊敬的同程vip会员您好，百旅会平安保险的年龄在0—100周岁之间，东吴保险是18—110周岁哦。
,会员在投保之后是否可更换投保人,尊敬的同程vip会员您好，会员投保之后不能更换投保人哦，投保人需与百旅会会员权益人保持一致的哦~
,交通意外险包含哪些,"尊敬的同程vip会员您好，在保险期间内，若被保险人以乘客身份乘坐民航客机、商业运营的火车(包括客运列车、地铁、轻轨列车)和轮船、商业运营的汽车（包括公共汽车、电车、出租汽车）期间遭受意外伤害事故导致身故或残疾的，我们除了给付“意外身故/残疾保险金”外还将按照条款给付“交通工具意外身故/残疾保险金”。

如未解答您的疑问请点此联系[link class=""tosupporter""]【?人工客服】[/link]为您查询。
人工客服工作时间：8:45-5:45（周一至周五）
如果有紧急情况也可以直接拨打[link url=""tel:4001807777""]400-180-7777[/link]~进行电话咨询~"
,交通意外险不包含哪些,尊敬的同程vip会员您好，交通意外险不包含私家车、网约车、电瓶车、自行车、走路等哦~
,保险退保规则,"尊敬的同程vip会员您好，在订单支付后7天犹豫期内，保险支持自动退保，不扣减保险金额。（黄金版东吴保险系统自动退保）
超出7天犹豫期的保险不支持退保，超出7天犹豫期退款时会扣除相应的保险权益价值，保险仍然有效（黄金版东吴保险退款权益价值为20元/份工本费，平安保险退款权益价值为150元/份，双人300元）"
,平安双人保险投保，可以共用一个手机号码吗,尊敬的同程vip会员您好，平安的保险可以投两个人，两个人的信息录入的时候，要两个不同手机号。如果用同一个手机号码，会导致另一个投保不成功的。
,东吴保险和平安保险区别,尊敬的同程vip会员您好，东吴的保险权益仅包含公共交通意外险，平安的保险权益中包含公共交通意外险、意外医疗保险、意外伤害住院津贴、意外身故/残疾保险。另外东吴的保险权益为单人的，平安的保险权益为双人的。如果用户已有东吴的保险权益，平安的保险权益则是另一种补充版。
,平安保险赔偿流程,尊敬的同程vip会员您好，1：拨打保险公司报案及理赔电话，中国平安：95511。2：拨打电话医疗咨询服务： 010-59104911电话准备理赔医疗资料。3：递交理赔资料 4：保险公司调查审核  5：结案转款。
,平安保险以外医疗理赔需要什么,"尊敬的同程vip会员您好，
1）被保险人的身份证明；
2）被保险人的银行卡复印件；
3）医院出具的医疗病历、医疗费用结算清单和医疗费用原始凭证；
4）其他事故资料，请咨询95511客服人员。
保险公司审核：保险公司受理到理赔申请后进行调查及审核
打款结案：保险公司确认受理后打款给被保人，结束理赔。"
,投保之后可以不购买旅游险吗,"尊敬的同程vip会员您好，可以不再买，但是建议您再买一份。
             原因：①百旅会的保险和旅游意外保险保额度不同，赔付不同。
              ②不同保险的保障内容不同。百旅会的保险，仅针对公共交通意外身故及伤残。其他旅游意外保险涵盖出游过程中的各种情况，对于意外导致的医疗费用及非公共交通导致的身故及伤残责任都可以承担。"
,东吴保险出险了如何理赔,尊敬的同程vip会员您好，会员出险后，本人或家属直接拨打24小时服务热线400-825-6789进行报案并接受理赔指导。东吴人寿在收到保险金给付申请书及有关证明和资料后，对于理赔案件符合保险责任且无需进行调查的，将在10个工作日内作出核定；情形复杂的，在30日内作出核定。
,保险赔偿方式,"尊敬的同程vip会员您好：1）保险人在理赔期限内完成理赔后，直接委托银行将赔款划入受益人本人的银行帐户。
2）根据我国银行储蓄存款实名制规定，若主被保险人的银行卡遗失，须在第一时间到银行办理挂失，申请补卡或重新办卡，并立即书面告知保险人如下信息：姓名、身份证号码、原帐号和新帐号，经保险人书面确认后，其后的理赔金保险人将划入新的帐户。
3、人寿保险的受益人对保险人请求给付险保险金的诉讼时效期间为五年，自其知道或应当知道保险事故发生之日起计算。人寿保险以外的其他保险的受益人对保险人请求给付意外伤害保险金和医疗保险金的诉讼时效期间为二年，自其知道或应当知道保险事故发生之日起计算。"
,保险是否有保险合同,尊敬的同程vip会员您好：百旅会赠送的保险是没有保险合同的哦，如果有问题您可以自行查看保单的哦~
,邮轮的行程天数,尊敬的同程VIP会员您好，百旅会铂金浪漫版游轮一般是3天2晚或者5天4均有，不同港口，线路不同。目的地有香港、济州、长崎、佐世保等后续会陆续增加。
,邮轮可以带家人一起出行吗,尊敬的同程VIP会员您好，百旅会铂金浪漫版自带赠送双份免费邮轮游，如果需要带家人一起出行，是需要按照相关线路的正常价格参加行程的哦。
,邮轮是什么房型,"尊敬的同程VIP会员您好，百旅会铂金浪漫版游轮是内舱房双人间哦~部分游轮是可以进行升级的哦，升级房型及参考价格如下：
百旅会铂金浪漫会员，升级入住海景房，仅需补差价400元/人！
百旅会铂金浪漫会员，升级入住阳台房，仅需补差价800元/人！"
,邮轮可以转让吗,尊敬的同程VIP会员您好，百旅会铂金浪漫版权益是可以直接赠送给朋友或者家人的哦，参加行程时直接用百旅会会员账号去报名即可，并注明赠送他人使用。
,邮轮权益可以分开使用吗,尊敬的同程vip会员您好，百旅会铂金浪漫版是赠送双份权益的哦，暂时线路不支持分成两次预订行程的哦~
,邮轮都包含什么,尊敬的同程VIP会员您好，百旅会铂金浪漫版游轮这个套餐的费用是包含了该航次的单船票+港务费+指定岸上观光+天安保险（80元，具体条款参照天安保险A款，但不包含放弃登船）+领队费用，不含邮轮上的小费与邮轮消费、码头往返接驳车费用哦~
,邮轮小费多少,"尊敬的同程VIP会员您好，全程邮轮小费（船上支付）需要自行付
阳台房及以下普通舱房每人每晚13.5美元；
天海行政套房及蓝天行政套房每人每晚15美元；
总统套房及世纪套房每人每晚16.5美元；
（2周岁以下儿童免收服务费）"
,邮轮的线路是从哪里出发到哪里,"尊敬的同程VIP会员您好，目前邮轮出发的港口是从上海、广州、深圳、香港为主。从上海出发的主要是天海邮轮去往日韩目的地（比如济州、长崎、佐世保等）；深圳、广州出发的主要是维多利亚号、云顶星梦邮轮的香港公海游。（后期产品有更新会同步）具体以产品通知为准；详情也可以致电[link url=""tel:4001807777""]400-180-7777[/link]详细咨询哦。"
,铂金邮轮有vip通道吗,"尊敬的同程VIP会员您好，码头有VIP贵宾服务厅,但是VIP贵宾服务只针对百旅会会员开放哦，只有100个名额哦，先到先得。VIP会员家属同行需要自理VIP通道费用哦~"
,邮轮怎么预定,"尊敬的同程VIP会员您好，您可以直接致电[link url=""tel:4001807777""]400-180-7777[/link]进行详细线路咨询或者也可以通过您的专属顾问来 进行线路预订哦。"
,百旅会铂金浪漫版权益,尊敬的同程VIP会员您好，铂金浪漫版有以下权益，1：赠送一份双人浪漫游轮之旅2：赠送双人平安保险“金色夕阳”医疗无忧险 3：赠送特色旅拍一份+精美制作全家福一张4：赠送由中国旅游出版社发行《岁月与旅行》一年四本5：每个月可在当地门店领取百旅会会刊6：每周免费开设中老年大学，畅想幸福晚年生活7：入会即赠5699的积分哦，预订香炉享受积分优惠，8：全年365天安排一对一的专属客服为您提供专业的旅游建议哦~9：入会即赠送百旅会纪念大礼包一份哦。
,邮轮可以升舱吗,"尊敬的同程VIP会员您好，基本上都是可以升舱的哦，但是具体需要跟产品这边来确认的哦~参考：铂金产品适用航次因航期不同补差价为，升级海景双人间，仅需补差价400元/人；升级入住阳台双人间，仅需补差价800元/人。详情可以致电[link url=""tel:4001807777""]400-180-7777[/link]进行咨询哦。"
,邮轮对出游人群有限制吗,尊敬的同程VIP会员您好，为了确保出行人安全，不满6月的婴儿、孕妇不接受预订；18周岁以下的游客需同时有21周岁以上75周岁以下成人陪同出游哦。
,双人邮轮线路查看,"尊敬的同程VIP会员您好，目前双人邮轮是天海游轮哦，线路大多是日韩线路，您无法直接在手机端上查看，您可以直接咨询您的顾问或者直接致电[link url=""tel:4001807777""]400-180-7777[/link]为您详细介绍行程哦。"
,百旅会邮轮需要材料吗,"尊敬的同程VIP会员您好，百旅会游轮是正常需要材料的哦，因为都是要正常过海关，所以材料都是正常收取。具体需要材料可以直接咨询[link url=""tel:4007777777""]400-777-7777[/link]，进行详细材料咨询哦。"
,周周有活动是否可以带家人参加,尊敬的同程vip会员您好，是可以的哦，但是需提前申请，因为每次活动都有体验名额，需确认体验名额是否有剩余才能能确认。
,活动中会不会有收取额外费用,尊敬的同程vip会员您好~我们是不会收取额外费用，活动多为交流分享哦。
,周周有可以转让吗,尊敬的同程vip会员您好~是可以的哦，但是在报名参加活动需备注说明会员本人的信息哦。
,周周有活动怎么报名,"尊敬的同程vip会员您好，周周有活动您可以直接在手机端点击我的----会员中心----百旅会，点击权益周周有活动即可，系统会自动定位离您最近的门店及活动哦~日期可以自行选择，或者您也可以直接致电[link url=""tel:4001807777""]400-180-7777[/link]帮您预约哦~如未解答您的疑问请点此联系[link class=""tosupporter""]【?人工客服】[/link]为您查询。
人工客服工作时间：8:45-5:45"
,周周活动需要提前几天预约,尊敬的百旅会会员您好，因为周周大部分活动是在各区域门店举行，每周的名额也是固定的，所以活动需要您提前3天报名哦~
,临时有事可以取消吗,"尊敬的百旅会会员您好，周周有活动需要您提前24小时取消，权益恢复~如果当天取消，如果无法参加活动，权益正常扣损的哦~如未解答您的疑问请点此联系[link class=""tosupporter""]【?人工客服】[/link]为您查询。
人工客服工作时间：8:45-5:45"
,周周有活动有车接送吗,尊敬的百旅会会员您好，周周有活动是由您所在区域自行组织的活动哦，一般离您不会太远，所以也不提供接送服务的哦，可以自行安排前往即可.
,周周有活动都会有什么活动,尊敬的百旅会会员您好，周周有活动是我们同程百旅会里面开设的中老年大学哦，每周都会举行想包饺子、手工DIY、插花、广场舞、k歌、健康宣讲等~
,周周有活动怎样取消,"尊敬的百旅会会员，周周有活动需要您提前24小时取消，权益恢复，如果在活动当天取消，当天如果无法参加活动，权益也是正常扣损的哦~取消操作流程可以直接找您的专属顾问去帮您操作取消，也可以直接致电[link url=""tel:4001807777""]400-180-7777[/link]进行电话取消哦~"
,周周有活动会通知吗,"尊敬的百旅会会员您好，因为活动每周举行比较频繁，所以客服不会每一次都会去提醒通知的哦~但是如果您需要了解近期活动，您可以直接在您的微信服务群里进行随时咨询哦~客服收到回回第一时间为您查询近期活动的，也可以咨询在线人工客服为您预约如未解答您的疑问请点此联系[link class=""tosupporter""]【?人工客服】[/link]为您查询。
人工客服工作时间：8:45-5:45咨询电话：[link url=""tel:4001807777""]400-180-7777[/link]"
,预约门店活动,"尊敬的百旅会会员，在线客服无法直接为您预约门电活动哦~如果您需要预约门电周周有活动，您可以直接找您的专属顾问预订，如未解答您的疑问请点此联系[link class=""tosupporter""]【?人工客服】[/link]为您查询。
人工客服工作时间：8:45-5:45。或者可以直接致电百旅会客服电话[link url=""tel:4001807777""]400-180-7777[/link]进行电话预约哦~"
,百旅会开发票是否可以延期,尊敬的同程VIP会员您好，百旅会发票开具只要在会员有效期内来开具即可哦~（注：会员有效期为一年，自支付之日算起）
,百旅会可以开增值税专用发票吗,"尊敬的同程VIP会员您好，百旅会是可以开增值税专用发票的哦，但是需要提供以下几种资料：
纳税人名称：XXX
纳税人识别号：XXX
地址及电话：XXX
开户行及账号：XXX
纳税人身份：一般纳税人
注：(1) 以上开票信息需要加盖公司公章"
,百旅会怎样开发票,"尊敬的同程VIP会员您好：付款７天后推送到财务开票系统（注，当日１５:３０之前推送的信息当日开出，１５:３０后推送的的下一工作日开出）发票需要您致电[link url=""tel:4001807777""]400-180-7777[/link]或者直接在您的专属顾问那边申请哦。

如未解答您的疑问请点此联系[link class=""tosupporter""]【?人工客服】[/link]为您查询。
人工客服工作时间：8:45-5:45（周一至周五）"
,个人发票，可以给非会员开票吗?,尊敬的同程VIP会员您好，是可以的哦，只要提供正确的个人发票抬头（姓名）即可。
,百旅会发票类型,尊敬的同程VIP会员您好，百旅会发票可以开服务费和会员费两种哦，可以根据需求开发票哦。
,发票可以备注其他吗,尊敬的同程VIP会员您好，发票是不可以备注任何事项的的哦，开票项目只能开：服务费，会员费  二选一.
,周边一日游怎么预定,"尊敬的同程VIP会员您好：这里是机器人自动回复哦，非常抱歉无法直接为您直接预订线路，您可以直接下载手机app端。点击我的--会员中心--百旅会会员--点击快乐大巴周报一日游就可以直接 预约哦~如未解答您的疑问请点此联系[link class=""tosupporter""]【?人工客服】[/link]为您查询。
人工客服工作时间：8:45-5:45或者也可以直接致电[link url=""tel:4001807777""]400-180-7777[/link]进行预定~"
,百旅会周边一日游需要在付费吗,尊敬的同程VIP会员您好，周边一日游是权益里面赠送的哦，一年4次，中间无需自行付费呢.
,百旅会周边一日游可以带朋友去吗,尊敬的同程VIP会员您好，百旅会周边一日游一年一共有四次免费的权益哦，是可以带朋友一起参加的，但是每个人员扣除一次权益，最多连同会员一共四人出游哦~权益一年不限制，会员可自己分配时间参加哦~
,周边有小朋友可以参加吗,尊敬的同程VIP会员您好，百旅会周边游的权益也是可以转让给儿童的，但在出游时需要购买相应的保险，并且儿童必须由监护人陪同参与的哦。
,百旅会周边游是否含餐,尊敬的同程VIP会员您好，行程里面大部分都是含餐的哦，具体按照实际出团通知书为准哦~
,百旅会周边一日游可以转让吗,尊敬的同程vip会员您好~百旅会权益除了保险已经投保之外，其他的都是不能转让，其他的权益都是可以转让的哦~
,周边一日游有车接送吗,尊敬的同程vip会员您好，周边一日游是统一的出发地点哦，需要您自行前往出发地集合哦。
,周边一日游需要买保险吗,尊敬的同程vip会员您好，百旅会权益里面包含的快乐大巴周边一日游是不需要再购买保险的哦，行程里面会为您赠送保险的哦~
,周边一日游退改规则,尊敬的同程vip会员您好，行程开始前1日，旅游者可以退订（权益恢复）或改期；行程开始当日及超过出游日期的，旅游者不可进行退改，如未出游，旅游者百旅会权益一年四次周边跟团游扣减相应次数（根据具体报名出游签约人数确定）。
,百旅会周边一日游有哪些城市,"尊敬的同程vip会员您好，百旅会面对不同的城市，目的地也是不一样的哦~基本都是您周边城市的景点哦，具体您可以详细咨询您的顾问或者致电[link url=""tel:4001807777""]400-180-7777[/link]进行预定~咨询线路哦。"
,百旅会黄金版有哪些权益,"百旅会有以下权益：
1：入会2199元每年的会费，入会即赠2199的积分。
2：赠送专业医疗体检套餐一份（可转让）
3：每个季度赠送快乐大巴周边一日游，全年4次。
4：赠送东吴人寿保险，最高保额60w
5: 门店开设中老年大学，全年52周。
6：每月赠送1本会刊，可累计领取。
7：安排贴心顾问，24小时为您服务，提供专业旅游建议。
8：享受百旅会专线，专门为您制定的旅游线路。"
,百旅会黄金版问题请点这里,-
,周边一日游点评,尊敬的同程VIP会员您好，百旅会周边一日游在您行程结束时导游会给您发送二维码，扫描二维码即可对本次的线路行程，导游服务进行点评哦。
,最近有哪些一日游,"尊敬的同程VIP会员您好，这里是只能机器人自动回复哦~如果您想咨询近期的一日游，请点此联系[link class=""tosupporter""]【?人工客服】[/link]为您查询。
人工客服工作时间：8:45-5:45。客服电话[link url=""tel:4001807777""]400-180-7777[/link]。"
,一年内四次周边游不出游问题,尊敬的同程vip会员您好，会员权益有限期为一年，积分有效期为五年，除积分之外的权益要在一年会员期内使用完毕，如果一年内您无法参加，可以转让给父母或者亲友使用，如果未使用完毕，则第二年自动清零的哦.
,百旅会投诉,[$blhzrg$]
,为什么赠送的行李箱还没有收到,"尊敬的同程VIP会员您好，非常抱歉给您带来了不便，行李箱是由我们各个区域统一采购分批邮寄的哦，进度也是按照入会的顺序来邮寄的，所以时间可能比较久！如果有紧急情况可以直接联系您的顾问来帮您查询进度哦~如未解答您的疑问请点此联系[link class=""tosupporter""]【?人工客服】[/link]为您查询。
人工客服工作时间：8:45-5:45。或者也可以直接致电[link url=""tel:4001807777""]400-180-7777[/link]进行详细咨询~"
,赠送的大礼包为什么还没有收到,"尊敬的同程vip会员您好，大礼包是由各个区域分批次送出，需要耐心等待哦~如有任何问题，可以直接致电您的旅游顾问或者直接致电[link url=""tel:4001807777""]400-180-7777[/link]进行进度咨询哦~"
,百旅会抽奖没有填写信息怎么办,"尊敬的同程vip会员您好，抽到积分后是不需要留您的信息的哦，24号回统一充值到您的抽奖会员手机账户中哦~如有任何疑问可以致电[link url=""tel:4001807777""]400-180-7777[/link]进行详细咨询哦~"
,如何抽奖,尊敬的百旅会会员您好，抽奖时间为1月21日-1月23日。活动面向于百旅会会员，抽奖二维码由您的专属顾问提供哦~
